"Species","AphiaID","isMarine","isBrackish","isFreshwater","isTerrestrial","is_non_marine"
"Hiatella arctica",140103,TRUE,NA,FALSE,FALSE,FALSE
"Laackmanniella prolongata",723498,TRUE,FALSE,FALSE,FALSE,FALSE
"Melosira dubia",149243,TRUE,TRUE,NA,FALSE,FALSE
"Ebria tripartita",118051,TRUE,TRUE,NA,FALSE,FALSE
"Chaetoceros didymus",149122,TRUE,NA,NA,FALSE,FALSE
"Acineta tuberosa",172366,TRUE,FALSE,FALSE,FALSE,FALSE
"Protoperidinium claudicans",163862,TRUE,NA,NA,FALSE,FALSE
"Lecudina tuzetae",563127,TRUE,FALSE,FALSE,FALSE,FALSE
"Bacteriastrum hyalinum",149119,TRUE,NA,NA,FALSE,FALSE
"Ercolania felina",494665,TRUE,FALSE,FALSE,FALSE,FALSE
"Chytriodinium roseum",547713,TRUE,NA,NA,NA,FALSE
"Heterosigma akashiwo",160585,TRUE,NA,NA,NA,FALSE
"Barentsia benedeni",111800,TRUE,TRUE,FALSE,FALSE,FALSE
"Rhaphoneis amphiceros",149066,TRUE,NA,TRUE,FALSE,FALSE
"Noctiluca scintillans",109921,TRUE,NA,FALSE,FALSE,FALSE
"Chaetoceros willei",156625,TRUE,NA,NA,FALSE,FALSE
"Spirorbis tridentatus",131238,TRUE,FALSE,FALSE,FALSE,FALSE
"Biecheleriopsis adriatica",837989,TRUE,NA,NA,NA,FALSE
"Thalassiosira delicatula",345533,TRUE,NA,NA,FALSE,FALSE
"Blidingia dawsonii",376936,TRUE,NA,NA,NA,FALSE
"Pyramimonas formosa",495344,TRUE,NA,NA,NA,FALSE
"Paralia sulcata",149055,TRUE,FALSE,TRUE,FALSE,FALSE
"Polykrikos kofoidii",109899,TRUE,TRUE,NA,FALSE,FALSE
"Apoglossum ruscifolium",144737,TRUE,NA,NA,NA,FALSE
"Lessardia elongata",232703,TRUE,NA,NA,NA,FALSE
"Microglena uva-maris",837860,TRUE,NA,NA,NA,FALSE
"Pseudendoclonium fucicola",156368,TRUE,NA,NA,NA,FALSE
"Diophrys oligothrix",341638,TRUE,FALSE,FALSE,FALSE,FALSE
"Ceramium diaphanum",144546,TRUE,NA,NA,NA,FALSE
"Tubulipora lobifera",111761,TRUE,FALSE,FALSE,FALSE,FALSE
"Edaphochloris andreyevii",NA,NA,NA,NA,NA,NA
"Phymatolithon lenormandii",145202,TRUE,NA,NA,NA,FALSE
"Convoluta convoluta",142602,TRUE,NA,NA,NA,FALSE
"Parvicardium exiguum",139008,TRUE,FALSE,FALSE,FALSE,FALSE
"Opercularella lacerata",117413,TRUE,NA,NA,FALSE,FALSE
"Einhornia crustulenta",467577,TRUE,FALSE,FALSE,FALSE,FALSE
"Chelonicola caribeana",NA,NA,NA,NA,NA,NA
"Thalassiosira hispida",625490,TRUE,NA,NA,FALSE,FALSE
"Ulvella leptochaete",732246,TRUE,NA,NA,NA,FALSE
"Vermiliopsis striaticeps",131061,TRUE,NA,NA,NA,FALSE
"Wilbertomorpha colpoda",NA,NA,NA,NA,NA,NA
"Corbicula fluminea",NA,FALSE,NA,TRUE,NA,TRUE
"Vertebrata lanosa",475211,TRUE,NA,NA,NA,FALSE
"Pista cristata",131516,TRUE,FALSE,FALSE,FALSE,FALSE
"Myxophyllum magnum",427077,TRUE,FALSE,FALSE,FALSE,FALSE
"Chaetoceros throndsenii",163137,TRUE,NA,NA,FALSE,FALSE
"Tubulanus annulatus",122626,TRUE,NA,NA,NA,FALSE
"Eutintinnus tubulosus",417222,TRUE,FALSE,FALSE,FALSE,FALSE
"Phaeophila dendroides",145778,TRUE,NA,NA,NA,FALSE
"Fulvia mutica",605735,TRUE,FALSE,FALSE,FALSE,FALSE
"Gastroclonium pacificum",372280,TRUE,NA,NA,NA,FALSE
"Spinosphaera hutchingsae",332039,TRUE,FALSE,FALSE,FALSE,FALSE
"Rimostrombidium veniliae",101219,TRUE,FALSE,FALSE,FALSE,FALSE
"Strombidium conicum",101289,TRUE,FALSE,FALSE,FALSE,FALSE
"Spiniferites mirabilis",NA,NA,NA,NA,NA,NA
"Eutintinnus tenuis",417221,TRUE,FALSE,FALSE,FALSE,FALSE
"Actinocyclus curvatulus",345847,TRUE,NA,NA,NA,FALSE
"Pseudodiaptomus marinus",360352,TRUE,TRUE,FALSE,FALSE,FALSE
"Margalefidinium polykrikoides",990876,TRUE,NA,NA,NA,FALSE
